"Date 
(month/day/year)",Market price ($/MWh),,,,,,,,,,,
02/07/2012 23:00,45.87,,,,,,,,,,,
02/07/2012 23:30,48.36,,,,,,,,,,,
03/07/2012 00:00,50.20,,,,,,,,,,,
03/07/2012 00:30,48.82,,,,,,,,,,,
03/07/2012 01:00,47.20,,,,,,,,,,,
03/07/2012 01:30,44.73,,,,,,,,,,,
03/07/2012 02:00,44.79,,,,,,,,,,,
03/07/2012 02:30,44.83,,,,,,,,,,,
03/07/2012 03:00,44.79,,,,,,,,,,,
03/07/2012 03:30,45.13,,,,,,,,,,,
03/07/2012 04:00,44.84,,,,,,,,,,,
03/07/2012 04:30,47.12,,,,,,,,,,,
03/07/2012 05:00,49.21,,,,,,,,,,,
03/07/2012 05:30,57.26,,,,,,,,,,,
03/07/2012 06:00,48.66,,,,,,,,,,,
03/07/2012 06:30,63.69,,,,,,,,,,,
03/07/2012 07:00,110.31,,,,,,,,,,,
03/07/2012 07:30,105.68,,,,,,,,,,,
03/07/2012 08:00,100.01,,,,,,,,,,,
03/07/2012 08:30,77.99,,,,,,,,,,,
03/07/2012 09:00,80.30,,,,,,,,,,,
03/07/2012 09:30,76.38,,,,,,,,,,,
03/07/2012 10:00,79.99,,,,,,,,,,,
03/07/2012 10:30,97.34,,,,,,,,,,,
03/07/2012 11:00,100.01,,,,,,,,,,,
03/07/2012 11:30,85.33,,,,,,,,,,,
03/07/2012 12:00,85.33,,,,,,,,,,,
03/07/2012 12:30,85.33,,,,,,,,,,,
03/07/2012 13:00,85.33,,,,,,,,,,,
03/07/2012 13:30,85.33,,,,,,,,,,,
03/07/2012 14:00,85.33,,,,,,,,,,,
03/07/2012 14:30,83.68,,,,,,,,,,,
03/07/2012 15:00,79.99,,,,,,,,,,,
03/07/2012 15:30,79.97,,,,,,,,,,,
03/07/2012 16:00,83.42,,,,,,,,,,,
03/07/2012 16:30,86.67,,,,,,,,,,,
03/07/2012 17:00,86.95,,,,,,,,,,,
03/07/2012 17:30,88.62,,,,,,,,,,,
03/07/2012 18:00,86.95,,,,,,,,,,,
03/07/2012 18:30,87.02,,,,,,,,,,,
03/07/2012 19:00,88.19,,,,,,,,,,,
03/07/2012 19:30,86.33,,,,,,,,,,,
03/07/2012 20:00,80.39,,,,,,,,,,,
03/07/2012 20:30,81.60,,,,,,,,,,,
03/07/2012 21:00,82.68,,,,,,,,,,,
03/07/2012 21:30,69.00,,,,,,,,,,,
03/07/2012 22:00,48.30,,,,,,,,,,,
03/07/2012 22:30,41.70,,,,,,,,,,,
03/07/2012 23:00,41.80,,,,,,,,,,,
03/07/2012 23:30,44.28,,,,,,,,,,,
04/07/2012 00:00,45.80,,,,,,,,,,,
04/07/2012 00:30,46.20,,,,,,,,,,,
04/07/2012 01:00,46.20,,,,,,,,,,,
04/07/2012 01:30,45.82,,,,,,,,,,,
04/07/2012 02:00,43.60,,,,,,,,,,,
04/07/2012 02:30,41.37,,,,,,,,,,,
04/07/2012 03:00,41.37,,,,,,,,,,,
04/07/2012 03:30,43.44,,,,,,,,,,,
04/07/2012 04:00,45.55,,,,,,,,,,,
04/07/2012 04:30,40.60,,,,,,,,,,,
04/07/2012 05:00,41.19,,,,,,,,,,,
04/07/2012 05:30,42.86,,,,,,,,,,,
04/07/2012 06:00,44.81,,,,,,,,,,,
04/07/2012 06:30,48.46,,,,,,,,,,,
04/07/2012 07:00,90.88,,,,,,,,,,,
04/07/2012 07:30,83.24,,,,,,,,,,,
04/07/2012 08:00,83.34,,,,,,,,,,,
04/07/2012 08:30,85.33,,,,,,,,,,,
04/07/2012 09:00,85.33,,,,,,,,,,,
04/07/2012 09:30,78.92,,,,,,,,,,,
04/07/2012 10:00,69.00,,,,,,,,,,,
04/07/2012 10:30,69.00,,,,,,,,,,,
04/07/2012 11:00,69.00,,,,,,,,,,,
04/07/2012 11:30,83.62,,,,,,,,,,,
04/07/2012 12:00,82.76,,,,,,,,,,,
04/07/2012 12:30,78.46,,,,,,,,,,,
04/07/2012 13:00,74.90,,,,,,,,,,,
04/07/2012 13:30,71.90,,,,,,,,,,,
04/07/2012 14:00,73.14,,,,,,,,,,,
04/07/2012 14:30,77.15,,,,,,,,,,,
04/07/2012 15:00,69.00,,,,,,,,,,,
04/07/2012 15:30,76.42,,,,,,,,,,,
04/07/2012 16:00,76.30,,,,,,,,,,,
04/07/2012 16:30,83.74,,,,,,,,,,,
04/07/2012 17:00,86.64,,,,,,,,,,,
04/07/2012 17:30,89.37,,,,,,,,,,,
04/07/2012 18:00,86.84,,,,,,,,,,,
04/07/2012 18:30,84.54,,,,,,,,,,,
04/07/2012 19:00,86.31,,,,,,,,,,,
04/07/2012 19:30,84.27,,,,,,,,,,,
04/07/2012 20:00,82.54,,,,,,,,,,,
04/07/2012 20:30,73.71,,,,,,,,,,,
04/07/2012 21:00,79.88,,,,,,,,,,,
04/07/2012 21:30,74.96,,,,,,,,,,,
04/07/2012 22:00,51.91,,,,,,,,,,,
04/07/2012 22:30,49.00,,,,,,,,,,,
04/07/2012 23:00,46.44,,,,,,,,,,,
04/07/2012 23:30,46.01,,,,,,,,,,,
05/07/2012 00:00,48.20,,,,,,,,,,,
05/07/2012 00:30,45.94,,,,,,,,,,,
05/07/2012 01:00,46.31,,,,,,,,,,,
05/07/2012 01:30,45.90,,,,,,,,,,,
05/07/2012 02:00,43.65,,,,,,,,,,,
05/07/2012 02:30,41.40,,,,,,,,,,,
05/07/2012 03:00,42.60,,,,,,,,,,,
05/07/2012 03:30,43.55,,,,,,,,,,,
05/07/2012 04:00,45.61,,,,,,,,,,,
05/07/2012 04:30,41.33,,,,,,,,,,,
05/07/2012 05:00,43.02,,,,,,,,,,,
05/07/2012 05:30,48.07,,,,,,,,,,,
05/07/2012 06:00,49.77,,,,,,,,,,,
05/07/2012 06:30,52.29,,,,,,,,,,,
05/07/2012 07:00,70.89,,,,,,,,,,,
05/07/2012 07:30,69.00,,,,,,,,,,,
05/07/2012 08:00,85.33,,,,,,,,,,,
05/07/2012 08:30,93.21,,,,,,,,,,,
05/07/2012 09:00,103.36,,,,,,,,,,,
05/07/2012 09:30,100.24,,,,,,,,,,,
05/07/2012 10:00,85.33,,,,,,,,,,,
05/07/2012 10:30,86.51,,,,,,,,,,,
05/07/2012 11:00,85.33,,,,,,,,,,,
05/07/2012 11:30,85.33,,,,,,,,,,,
05/07/2012 12:00,83.68,,,,,,,,,,,
05/07/2012 12:30,83.68,,,,,,,,,,,
05/07/2012 13:00,83.68,,,,,,,,,,,
05/07/2012 13:30,83.68,,,,,,,,,,,
05/07/2012 14:00,82.02,,,,,,,,,,,
05/07/2012 14:30,82.63,,,,,,,,,,,
05/07/2012 15:00,76.92,,,,,,,,,,,
05/07/2012 15:30,78.26,,,,,,,,,,,
05/07/2012 16:00,103.36,,,,,,,,,,,
05/07/2012 16:30,103.36,,,,,,,,,,,
05/07/2012 17:00,103.36,,,,,,,,,,,
05/07/2012 17:30,103.36,,,,,,,,,,,
05/07/2012 18:00,103.36,,,,,,,,,,,
05/07/2012 18:30,85.33,,,,,,,,,,,
05/07/2012 19:00,85.33,,,,,,,,,,,
05/07/2012 19:30,79.46,,,,,,,,,,,
05/07/2012 20:00,78.35,,,,,,,,,,,
05/07/2012 20:30,77.60,,,,,,,,,,,
05/07/2012 21:00,82.05,,,,,,,,,,,
05/07/2012 21:30,82.45,,,,,,,,,,,
05/07/2012 22:00,77.25,,,,,,,,,,,
05/07/2012 22:30,68.63,,,,,,,,,,,
05/07/2012 23:00,65.07,,,,,,,,,,,
05/07/2012 23:30,70.86,,,,,,,,,,,
06/07/2012 00:00,65.96,,,,,,,,,,,
06/07/2012 00:30,60.85,,,,,,,,,,,
06/07/2012 01:00,63.52,,,,,,,,,,,
06/07/2012 01:30,78.26,,,,,,,,,,,
06/07/2012 02:00,78.26,,,,,,,,,,,
06/07/2012 02:30,78.26,,,,,,,,,,,
06/07/2012 03:00,78.26,,,,,,,,,,,
06/07/2012 03:30,78.26,,,,,,,,,,,
06/07/2012 04:00,78.26,,,,,,,,,,,
06/07/2012 04:30,51.66,,,,,,,,,,,
06/07/2012 05:00,48.47,,,,,,,,,,,
06/07/2012 05:30,65.51,,,,,,,,,,,
06/07/2012 06:00,61.15,,,,,,,,,,,
06/07/2012 06:30,81.29,,,,,,,,,,,
06/07/2012 07:00,105.12,,,,,,,,,,,
06/07/2012 07:30,108.26,,,,,,,,,,,
06/07/2012 08:00,77.59,,,,,,,,,,,
06/07/2012 08:30,84.16,,,,,,,,,,,
06/07/2012 09:00,100.00,,,,,,,,,,,
06/07/2012 09:30,100.00,,,,,,,,,,,
06/07/2012 10:00,100.00,,,,,,,,,,,
06/07/2012 10:30,100.00,,,,,,,,,,,
06/07/2012 11:00,100.00,,,,,,,,,,,
06/07/2012 11:30,100.00,,,,,,,,,,,
06/07/2012 12:00,85.33,,,,,,,,,,,
06/07/2012 12:30,83.22,,,,,,,,,,,
06/07/2012 13:00,83.22,,,,,,,,,,,
06/07/2012 13:30,83.22,,,,,,,,,,,
06/07/2012 14:00,83.22,,,,,,,,,,,
06/07/2012 14:30,83.22,,,,,,,,,,,
06/07/2012 15:00,83.22,,,,,,,,,,,
06/07/2012 15:30,80.00,,,,,,,,,,,
06/07/2012 16:00,85.19,,,,,,,,,,,
06/07/2012 16:30,85.00,,,,,,,,,,,
06/07/2012 17:00,85.00,,,,,,,,,,,
06/07/2012 17:30,85.00,,,,,,,,,,,
06/07/2012 18:00,85.00,,,,,,,,,,,
06/07/2012 18:30,112.10,,,,,,,,,,,
06/07/2012 19:00,106.52,,,,,,,,,,,
06/07/2012 19:30,109.59,,,,,,,,,,,
06/07/2012 20:00,112.34,,,,,,,,,,,
06/07/2012 20:30,105.78,,,,,,,,,,,
06/07/2012 21:00,106.39,,,,,,,,,,,
06/07/2012 21:30,101.29,,,,,,,,,,,
06/07/2012 22:00,74.79,,,,,,,,,,,
06/07/2012 22:30,61.12,,,,,,,,,,,
06/07/2012 23:00,58.85,,,,,,,,,,,
06/07/2012 23:30,60.02,,,,,,,,,,,
07/07/2012 00:00,63.23,,,,,,,,,,,
07/07/2012 00:30,53.60,,,,,,,,,,,
07/07/2012 01:00,51.18,,,,,,,,,,,
07/07/2012 01:30,51.69,,,,,,,,,,,
07/07/2012 02:00,50.00,,,,,,,,,,,
07/07/2012 02:30,50.00,,,,,,,,,,,
07/07/2012 03:00,50.00,,,,,,,,,,,
07/07/2012 03:30,50.00,,,,,,,,,,,
07/07/2012 04:00,50.00,,,,,,,,,,,
07/07/2012 04:30,50.00,,,,,,,,,,,
07/07/2012 05:00,50.00,,,,,,,,,,,
07/07/2012 05:30,48.89,,,,,,,,,,,
07/07/2012 06:00,50.00,,,,,,,,,,,
07/07/2012 06:30,50.00,,,,,,,,,,,
07/07/2012 07:00,84.00,,,,,,,,,,,
07/07/2012 07:30,84.00,,,,,,,,,,,
07/07/2012 08:00,60.00,,,,,,,,,,,
07/07/2012 08:30,60.00,,,,,,,,,,,
07/07/2012 09:00,68.75,,,,,,,,,,,
07/07/2012 09:30,60.00,,,,,,,,,,,
07/07/2012 10:00,54.37,,,,,,,,,,,
07/07/2012 10:30,54.00,,,,,,,,,,,
07/07/2012 11:00,60.00,,,,,,,,,,,
07/07/2012 11:30,67.77,,,,,,,,,,,
07/07/2012 12:00,66.67,,,,,,,,,,,
07/07/2012 12:30,66.00,,,,,,,,,,,
07/07/2012 13:00,60.00,,,,,,,,,,,
07/07/2012 13:30,60.00,,,,,,,,,,,
07/07/2012 14:00,58.12,,,,,,,,,,,
07/07/2012 14:30,59.10,,,,,,,,,,,
07/07/2012 15:00,60.00,,,,,,,,,,,
07/07/2012 15:30,67.75,,,,,,,,,,,
07/07/2012 16:00,81.27,,,,,,,,,,,
07/07/2012 16:30,66.50,,,,,,,,,,,
07/07/2012 17:00,75.55,,,,,,,,,,,
07/07/2012 17:30,84.94,,,,,,,,,,,
07/07/2012 18:00,88.21,,,,,,,,,,,
07/07/2012 18:30,91.41,,,,,,,,,,,
07/07/2012 19:00,92.85,,,,,,,,,,,
07/07/2012 19:30,91.51,,,,,,,,,,,
07/07/2012 20:00,86.56,,,,,,,,,,,
07/07/2012 20:30,74.61,,,,,,,,,,,
07/07/2012 21:00,70.45,,,,,,,,,,,
07/07/2012 21:30,66.27,,,,,,,,,,,
07/07/2012 22:00,53.64,,,,,,,,,,,
07/07/2012 22:30,49.32,,,,,,,,,,,
07/07/2012 23:00,50.91,,,,,,,,,,,
07/07/2012 23:30,54.92,,,,,,,,,,,
08/07/2012 00:00,54.51,,,,,,,,,,,
08/07/2012 00:30,51.59,,,,,,,,,,,
08/07/2012 01:00,47.77,,,,,,,,,,,
08/07/2012 01:30,44.18,,,,,,,,,,,
08/07/2012 02:00,46.70,,,,,,,,,,,
08/07/2012 02:30,44.18,,,,,,,,,,,
08/07/2012 03:00,43.31,,,,,,,,,,,
08/07/2012 03:30,43.16,,,,,,,,,,,
08/07/2012 04:00,43.36,,,,,,,,,,,
08/07/2012 04:30,43.83,,,,,,,,,,,
08/07/2012 05:00,41.34,,,,,,,,,,,
08/07/2012 05:30,40.00,,,,,,,,,,,
08/07/2012 06:00,40.00,,,,,,,,,,,
08/07/2012 06:30,45.21,,,,,,,,,,,
08/07/2012 07:00,54.00,,,,,,,,,,,
08/07/2012 07:30,54.00,,,,,,,,,,,
08/07/2012 08:00,51.90,,,,,,,,,,,
08/07/2012 08:30,51.90,,,,,,,,,,,
08/07/2012 09:00,51.90,,,,,,,,,,,
08/07/2012 09:30,51.90,,,,,,,,,,,
08/07/2012 10:00,48.60,,,,,,,,,,,
08/07/2012 10:30,49.20,,,,,,,,,,,
08/07/2012 11:00,49.20,,,,,,,,,,,
08/07/2012 11:30,48.60,,,,,,,,,,,
08/07/2012 12:00,49.20,,,,,,,,,,,
08/07/2012 12:30,48.60,,,,,,,,,,,
08/07/2012 13:00,48.60,,,,,,,,,,,
08/07/2012 13:30,48.20,,,,,,,,,,,
08/07/2012 14:00,48.60,,,,,,,,,,,
08/07/2012 14:30,48.20,,,,,,,,,,,
08/07/2012 15:00,48.20,,,,,,,,,,,
08/07/2012 15:30,57.32,,,,,,,,,,,
08/07/2012 16:00,67.50,,,,,,,,,,,
08/07/2012 16:30,72.83,,,,,,,,,,,
08/07/2012 17:00,85.73,,,,,,,,,,,
08/07/2012 17:30,87.67,,,,,,,,,,,
08/07/2012 18:00,86.57,,,,,,,,,,,
08/07/2012 18:30,86.57,,,,,,,,,,,
08/07/2012 19:00,87.54,,,,,,,,,,,
08/07/2012 19:30,87.15,,,,,,,,,,,
08/07/2012 20:00,88.48,,,,,,,,,,,
08/07/2012 20:30,85.05,,,,,,,,,,,
08/07/2012 21:00,74.12,,,,,,,,,,,
08/07/2012 21:30,63.30,,,,,,,,,,,
08/07/2012 22:00,49.53,,,,,,,,,,,
08/07/2012 22:30,43.20,,,,,,,,,,,
08/07/2012 23:00,44.18,,,,,,,,,,,
08/07/2012 23:30,43.01,,,,,,,,,,,
09/07/2012 00:00,41.08,,,,,,,,,,,
09/07/2012 00:30,40.00,,,,,,,,,,,
09/07/2012 01:00,40.00,,,,,,,,,,,
09/07/2012 01:30,40.00,,,,,,,,,,,
09/07/2012 02:00,40.00,,,,,,,,,,,
09/07/2012 02:30,40.00,,,,,,,,,,,
09/07/2012 03:00,40.00,,,,,,,,,,,
09/07/2012 03:30,40.00,,,,,,,,,,,
09/07/2012 04:00,41.52,,,,,,,,,,,
09/07/2012 04:30,44.18,,,,,,,,,,,
09/07/2012 05:00,54.93,,,,,,,,,,,
09/07/2012 05:30,59.25,,,,,,,,,,,
09/07/2012 06:00,68.53,,,,,,,,,,,
09/07/2012 06:30,75.16,,,,,,,,,,,
09/07/2012 07:00,80.00,,,,,,,,,,,
09/07/2012 07:30,84.95,,,,,,,,,,,
09/07/2012 08:00,121.12,,,,,,,,,,,
09/07/2012 08:30,117.42,,,,,,,,,,,
09/07/2012 09:00,109.29,,,,,,,,,,,
09/07/2012 09:30,104.96,,,,,,,,,,,
09/07/2012 10:00,104.98,,,,,,,,,,,
09/07/2012 10:30,98.63,,,,,,,,,,,
09/07/2012 11:00,100.96,,,,,,,,,,,
09/07/2012 11:30,96.97,,,,,,,,,,,
09/07/2012 12:00,96.97,,,,,,,,,,,
09/07/2012 12:30,93.65,,,,,,,,,,,
09/07/2012 13:00,89.71,,,,,,,,,,,
09/07/2012 13:30,85.16,,,,,,,,,,,
09/07/2012 14:00,86.31,,,,,,,,,,,
09/07/2012 14:30,92.21,,,,,,,,,,,
09/07/2012 15:00,96.97,,,,,,,,,,,
09/07/2012 15:30,86.65,,,,,,,,,,,
09/07/2012 16:00,109.17,,,,,,,,,,,
09/07/2012 16:30,111.23,,,,,,,,,,,
09/07/2012 17:00,114.12,,,,,,,,,,,
09/07/2012 17:30,115.07,,,,,,,,,,,
09/07/2012 18:00,117.71,,,,,,,,,,,
09/07/2012 18:30,121.42,,,,,,,,,,,
09/07/2012 19:00,127.21,,,,,,,,,,,
09/07/2012 19:30,126.67,,,,,,,,,,,
09/07/2012 20:00,118.91,,,,,,,,,,,
09/07/2012 20:30,100.90,,,,,,,,,,,
09/07/2012 21:00,87.56,,,,,,,,,,,
09/07/2012 21:30,87.80,,,,,,,,,,,
09/07/2012 22:00,45.52,,,,,,,,,,,
09/07/2012 22:30,40.30,,,,,,,,,,,
09/07/2012 23:00,40.00,,,,,,,,,,,
09/07/2012 23:30,42.86,,,,,,,,,,,
10/07/2012 00:00,41.25,,,,,,,,,,,
10/07/2012 00:30,40.00,,,,,,,,,,,
10/07/2012 01:00,40.00,,,,,,,,,,,
10/07/2012 01:30,40.00,,,,,,,,,,,
10/07/2012 02:00,40.00,,,,,,,,,,,
10/07/2012 02:30,40.00,,,,,,,,,,,
10/07/2012 03:00,40.00,,,,,,,,,,,
10/07/2012 03:30,40.00,,,,,,,,,,,
10/07/2012 04:00,40.00,,,,,,,,,,,
10/07/2012 04:30,41.26,,,,,,,,,,,
10/07/2012 05:00,40.00,,,,,,,,,,,
10/07/2012 05:30,40.48,,,,,,,,,,,
10/07/2012 06:00,43.60,,,,,,,,,,,
10/07/2012 06:30,49.55,,,,,,,,,,,
10/07/2012 07:00,87.89,,,,,,,,,,,
10/07/2012 07:30,81.14,,,,,,,,,,,
10/07/2012 08:00,100.00,,,,,,,,,,,
10/07/2012 08:30,100.00,,,,,,,,,,,
10/07/2012 09:00,100.00,,,,,,,,,,,
10/07/2012 09:30,100.00,,,,,,,,,,,
10/07/2012 10:00,100.00,,,,,,,,,,,
10/07/2012 10:30,95.55,,,,,,,,,,,
10/07/2012 11:00,87.73,,,,,,,,,,,
10/07/2012 11:30,85.33,,,,,,,,,,,
10/07/2012 12:00,83.68,,,,,,,,,,,
10/07/2012 12:30,83.68,,,,,,,,,,,
10/07/2012 13:00,83.68,,,,,,,,,,,
10/07/2012 13:30,83.68,,,,,,,,,,,
10/07/2012 14:00,83.68,,,,,,,,,,,
10/07/2012 14:30,83.68,,,,,,,,,,,
10/07/2012 15:00,83.68,,,,,,,,,,,
10/07/2012 15:30,83.68,,,,,,,,,,,
10/07/2012 16:00,100.00,,,,,,,,,,,
10/07/2012 16:30,100.00,,,,,,,,,,,
10/07/2012 17:00,100.00,,,,,,,,,,,
10/07/2012 17:30,100.00,,,,,,,,,,,
10/07/2012 18:00,100.00,,,,,,,,,,,
10/07/2012 18:30,123.64,,,,,,,,,,,
10/07/2012 19:00,123.64,,,,,,,,,,,
10/07/2012 19:30,100.00,,,,,,,,,,,
10/07/2012 20:00,100.00,,,,,,,,,,,
10/07/2012 20:30,100.00,,,,,,,,,,,
10/07/2012 21:00,117.90,,,,,,,,,,,
10/07/2012 21:30,118.22,,,,,,,,,,,
10/07/2012 22:00,50.39,,,,,,,,,,,
10/07/2012 22:30,48.05,,,,,,,,,,,
10/07/2012 23:00,41.93,,,,,,,,,,,
10/07/2012 23:30,40.60,,,,,,,,,,,
11/07/2012 00:00,40.00,,,,,,,,,,,
11/07/2012 00:30,40.00,,,,,,,,,,,
11/07/2012 01:00,40.00,,,,,,,,,,,
11/07/2012 01:30,40.00,,,,,,,,,,,
11/07/2012 02:00,40.00,,,,,,,,,,,
11/07/2012 02:30,40.00,,,,,,,,,,,
11/07/2012 03:00,40.00,,,,,,,,,,,
11/07/2012 03:30,40.00,,,,,,,,,,,
11/07/2012 04:00,40.00,,,,,,,,,,,
11/07/2012 04:30,40.00,,,,,,,,,,,
11/07/2012 05:00,40.00,,,,,,,,,,,
11/07/2012 05:30,41.40,,,,,,,,,,,
11/07/2012 06:00,44.05,,,,,,,,,,,
11/07/2012 06:30,49.77,,,,,,,,,,,
11/07/2012 07:00,94.68,,,,,,,,,,,
11/07/2012 07:30,91.86,,,,,,,,,,,
11/07/2012 08:00,109.70,,,,,,,,,,,
11/07/2012 08:30,109.16,,,,,,,,,,,
11/07/2012 09:00,110.77,,,,,,,,,,,
11/07/2012 09:30,98.84,,,,,,,,,,,
11/07/2012 10:00,85.59,,,,,,,,,,,
11/07/2012 10:30,85.00,,,,,,,,,,,
11/07/2012 11:00,80.00,,,,,,,,,,,
11/07/2012 11:30,80.00,,,,,,,,,,,
11/07/2012 12:00,80.00,,,,,,,,,,,
11/07/2012 12:30,80.00,,,,,,,,,,,
11/07/2012 13:00,75.00,,,,,,,,,,,
11/07/2012 13:30,75.00,,,,,,,,,,,
11/07/2012 14:00,75.00,,,,,,,,,,,
11/07/2012 14:30,75.00,,,,,,,,,,,
11/07/2012 15:00,75.00,,,,,,,,,,,
11/07/2012 15:30,83.68,,,,,,,,,,,
11/07/2012 16:00,90.00,,,,,,,,,,,
11/07/2012 16:30,90.00,,,,,,,,,,,
11/07/2012 17:00,101.74,,,,,,,,,,,
11/07/2012 17:30,100.00,,,,,,,,,,,
11/07/2012 18:00,100.00,,,,,,,,,,,
11/07/2012 18:30,100.00,,,,,,,,,,,
11/07/2012 19:00,100.00,,,,,,,,,,,
11/07/2012 19:30,100.00,,,,,,,,,,,
11/07/2012 20:00,100.00,,,,,,,,,,,
11/07/2012 20:30,119.16,,,,,,,,,,,
11/07/2012 21:00,102.37,,,,,,,,,,,
11/07/2012 21:30,101.08,,,,,,,,,,,
11/07/2012 22:00,60.00,,,,,,,,,,,
11/07/2012 22:30,45.54,,,,,,,,,,,
11/07/2012 23:00,43.27,,,,,,,,,,,
11/07/2012 23:30,41.40,,,,,,,,,,,
12/07/2012 00:00,40.00,,,,,,,,,,,
12/07/2012 00:30,40.00,,,,,,,,,,,
12/07/2012 01:00,40.00,,,,,,,,,,,
12/07/2012 01:30,40.00,,,,,,,,,,,
12/07/2012 02:00,40.00,,,,,,,,,,,
12/07/2012 02:30,40.00,,,,,,,,,,,
12/07/2012 03:00,40.00,,,,,,,,,,,
